D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
0.069514	0.069514	0.000023	14.485474	0.000000	164561.305961	143169.597854	223	EGL	LCh	LChWithError	Shad
0.010907	0.010907	0.000009	3.675311	0.000238	63485.536182	62115.615753	218	EGL	LCh	HdR	Shad
0.012656	0.012656	0.000009	4.174098	0.000030	63445.458120	61859.564876	219	EGL	LCh	PtR	Shad
0.062419	0.062419	0.000021	13.611338	0.000000	164561.305961	145224.893913	224	EGL	LChWithError	LCh	Shad
0.013608	0.013608	0.000008	4.934240	0.000001	64692.713164	62955.712830	218	EGL	LChWithError	HdR	Shad
0.017253	0.017253	0.000008	6.293333	0.000000	64801.453558	62603.364883	222	EGL	LChWithError	PtR	Shad
-0.911542	-0.911542	0.000015	-232.773712	0.000000	63485.536182	1371897.954751	220	EGL	HdR	LCh	Shad
-0.910060	-0.910060	0.000016	-230.535402	0.000000	64692.713107	1373888.526880	219	EGL	HdR	LChWithError	Shad
0.844081	0.844081	0.000022	181.670181	0.000000	1069104.812135	90393.747768	219	EGL	HdR	PtR	Shad
-0.909854	-0.909854	0.000016	-229.686610	0.000000	63445.458120	1344176.182109	220	EGL	PtR	LCh	Shad
-0.908138	-0.908138	0.000016	-228.068008	0.000000	64801.453558	1346038.134865	223	EGL	PtR	LChWithError	Shad
0.867033	0.867033	0.000023	182.648302	0.000000	1069104.812135	76139.584537	219	EGL	PtR	HdR	Shad
-0.007127	-0.007127	0.000011	-2.138673	0.032462	143169.597854	145224.893913	222	LCh	LChWithError	EGL	Shad
0.000902	0.000902	0.000003	0.488605	0.625121	77107.996188	76969.079111	219	LCh	LChWithError	HdR	Shad
0.002052	0.002052	0.000003	1.124782	0.260681	76703.192360	76388.977834	222	LCh	LChWithError	PtR	Shad
-0.913368	-0.913368	0.000015	-236.887522	0.000000	62115.615753	1371897.954751	219	LCh	HdR	EGL	Shad
-0.910928	-0.910928	0.000012	-258.560981	0.000000	77107.996154	1654263.628544	222	LCh	HdR	LChWithError	Shad
0.833530	0.833530	0.000023	174.972810	0.000000	1239474.013925	112534.101537	221	LCh	HdR	PtR	Shad
-0.912009	-0.912009	0.000015	-236.644332	0.000000	61859.564876	1344176.182109	220	LCh	PtR	EGL	Shad
-0.909487	-0.909487	0.000013	-253.139615	0.000000	76703.192332	1618147.155607	224	LCh	PtR	LChWithError	Shad
0.856336	0.856336	0.000023	177.611789	0.000000	1239474.013925	95924.448150	221	LCh	PtR	HdR	Shad
-0.912369	-0.912369	0.000016	-230.705141	0.000000	62955.712726	1373888.526880	218	LChWithError	HdR	EGL	Shad
-0.911082	-0.911082	0.000013	-252.100074	0.000000	76969.079007	1654263.628544	222	LChWithError	HdR	LCh	Shad
0.832545	0.832545	0.000023	175.257816	0.000000	1243401.363655	113619.642128	222	LChWithError	HdR	PtR	Shad
-0.911115	-0.911115	0.000016	-230.647387	0.000000	62603.364883	1346038.134882	221	LChWithError	PtR	EGL	Shad
-0.909841	-0.909841	0.000013	-248.760781	0.000000	76388.977834	1618147.155607	223	LChWithError	PtR	LCh	Shad
0.855432	0.855432	0.000023	178.864117	0.000000	1243401.363655	96880.773454	222	LChWithError	PtR	HdR	Shad
0.085593	0.085593	0.000009	28.208319	0.000000	90393.747768	76139.584537	217	HdR	PtR	EGL	Shad
0.079678	0.079678	0.000009	26.923357	0.000000	112534.101537	95924.448150	219	HdR	PtR	LCh	Shad
0.079519	0.079519	0.000008	27.909676	0.000000	113619.642283	96880.773565	220	HdR	PtR	LChWithError	Shad
