D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
0.068585	0.068585	0.000022	14.733377	0.000000	358646.914548	312608.693784	224	EGL	LCh	LChWithError	Shad
0.011319	0.011319	0.000006	4.659818	0.000003	148017.217871	144703.899230	221	EGL	LCh	HdR	Shad
0.014518	0.014518	0.000006	5.723762	0.000000	147551.479861	143328.385232	222	EGL	LCh	PtR	Shad
0.062060	0.062060	0.000020	13.966424	0.000000	358646.914548	316732.730495	224	EGL	LChWithError	LCh	Shad
0.014903	0.014903	0.000005	6.740130	0.000000	150254.623871	145841.974989	221	EGL	LChWithError	HdR	Shad
0.017532	0.017532	0.000005	7.868961	0.000000	149762.024864	144601.266142	224	EGL	LChWithError	PtR	Shad
-0.906031	-0.906031	0.000016	-223.289634	0.000000	148017.217871	3002310.956587	220	EGL	HdR	LCh	Shad
-0.904774	-0.904774	0.000017	-222.729786	0.000000	150254.623542	3005506.289843	221	EGL	HdR	LChWithError	Shad
0.838255	0.838255	0.000022	177.304262	0.000000	2370596.116142	208585.104453	221	EGL	HdR	PtR	Shad
-0.904324	-0.904324	0.000017	-222.399414	0.000000	147551.479861	2936832.072284	223	EGL	PtR	LCh	Shad
-0.903053	-0.903053	0.000017	-221.131670	0.000000	149762.024621	2939797.403045	225	EGL	PtR	LChWithError	Shad
0.861060	0.861060	0.000023	179.490337	0.000000	2370596.116142	176980.269751	221	EGL	PtR	HdR	Shad
-0.006553	-0.006553	0.000010	-2.088638	0.036740	312608.694287	316732.730495	223	LCh	LChWithError	EGL	Shad
0.001277	0.001277	0.000002	0.825725	0.408960	178075.220184	177620.848736	221	LCh	LChWithError	HdR	Shad
0.000787	0.000787	0.000002	0.528338	0.597264	176185.458841	175908.508899	223	LCh	LChWithError	PtR	Shad
-0.908037	-0.908037	0.000015	-231.348043	0.000000	144703.899230	3002310.956587	222	LCh	HdR	EGL	Shad
-0.906022	-0.906022	0.000013	-250.268736	0.000000	178075.218900	3611652.406072	227	LCh	HdR	LChWithError	Shad
0.827570	0.827570	0.000023	171.869136	0.000000	2746276.174635	259109.268733	224	LCh	HdR	PtR	Shad
-0.906934	-0.906934	0.000016	-229.956371	0.000000	143328.385232	2936832.072284	223	LCh	PtR	EGL	Shad
-0.904826	-0.904826	0.000014	-245.967897	0.000000	176185.457322	3526208.405568	228	LCh	PtR	LChWithError	Shad
0.850605	0.850605	0.000023	175.977248	0.000000	2746276.174635	221700.015350	225	LCh	PtR	HdR	Shad
-0.907442	-0.907442	0.000016	-226.029911	0.000000	145841.974285	3005506.289787	222	LChWithError	HdR	EGL	Shad
-0.906251	-0.906251	0.000014	-243.698452	0.000000	177620.847593	3611652.406072	226	LChWithError	HdR	LCh	Shad
0.827091	0.827091	0.000023	171.973233	0.000000	2753941.355618	260621.807802	223	LChWithError	HdR	PtR	Shad
-0.906237	-0.906237	0.000016	-225.248723	0.000000	144601.265541	2939797.403062	224	LChWithError	PtR	EGL	Shad
-0.904969	-0.904969	0.000014	-240.815507	0.000000	175908.508259	3526208.405568	227	LChWithError	PtR	LCh	Shad
0.849867	0.849867	0.000023	176.282583	0.000000	2753941.354948	223506.918495	224	LChWithError	PtR	HdR	Shad
0.081970	0.081970	0.000007	30.687109	0.000000	208585.104453	176980.269751	218	HdR	PtR	EGL	Shad
0.077805	0.077805	0.000007	29.678285	0.000000	259109.268733	221700.015350	222	HdR	PtR	LCh	Shad
0.076663	0.076663	0.000006	30.244249	0.000000	260621.807942	223506.918529	224	HdR	PtR	LChWithError	Shad
