D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
0.068554	0.068554	0.000022	14.731696	0.000000	358685.782103	312662.203967	224	EGL	LCh	LChWithError	Shad
0.011319	0.011319	0.000006	4.659818	0.000003	148017.217871	144703.899230	221	EGL	LCh	HdR	Shad
0.014518	0.014518	0.000006	5.723762	0.000000	147551.479861	143328.385232	222	EGL	LCh	PtR	Shad
0.061061	0.061061	0.000020	13.758787	0.000000	358685.782103	317402.982401	224	EGL	LChWithError	LCh	Shad
0.014291	0.014291	0.000005	6.483908	0.000000	150608.437089	146364.470244	221	EGL	LChWithError	HdR	Shad
0.016992	0.016992	0.000005	7.649943	0.000000	150135.949806	145118.986354	224	EGL	LChWithError	PtR	Shad
-0.906031	-0.906031	0.000016	-223.289634	0.000000	148017.217871	3002310.956587	220	EGL	HdR	LCh	Shad
-0.904553	-0.904553	0.000016	-222.710744	0.000000	150608.437089	3005250.549049	221	EGL	HdR	LChWithError	Shad
0.838255	0.838255	0.000022	177.304262	0.000000	2370596.116142	208585.104453	221	EGL	HdR	PtR	Shad
-0.904324	-0.904324	0.000017	-222.399414	0.000000	147551.479861	2936832.072284	223	EGL	PtR	LCh	Shad
-0.902815	-0.902815	0.000017	-221.113895	0.000000	150135.949806	2939547.809530	225	EGL	PtR	LChWithError	Shad
0.861060	0.861060	0.000023	179.490337	0.000000	2370596.116142	176980.269751	221	EGL	PtR	HdR	Shad
-0.007524	-0.007524	0.000010	-2.401827	0.016313	312662.203967	317402.982401	223	LCh	LChWithError	EGL	Shad
0.000729	0.000729	0.000002	0.472812	0.636347	178486.954010	178226.992233	221	LCh	LChWithError	HdR	Shad
0.000315	0.000315	0.000002	0.212128	0.832007	176619.143789	176507.980372	223	LCh	LChWithError	PtR	Shad
-0.908037	-0.908037	0.000015	-231.348043	0.000000	144703.899230	3002310.956587	222	LCh	HdR	EGL	Shad
-0.905807	-0.905807	0.000013	-250.246825	0.000000	178486.954010	3611334.049224	227	LCh	HdR	LChWithError	Shad
0.827570	0.827570	0.000023	171.869136	0.000000	2746276.174635	259109.268733	224	LCh	HdR	PtR	Shad
-0.906934	-0.906934	0.000016	-229.956371	0.000000	143328.385232	2936832.072284	223	LCh	PtR	EGL	Shad
-0.904595	-0.904595	0.000014	-245.948451	0.000000	176619.143789	3525897.864043	228	LCh	PtR	LChWithError	Shad
0.850605	0.850605	0.000023	175.977248	0.000000	2746276.174635	221700.015350	225	LCh	PtR	HdR	Shad
-0.907118	-0.907118	0.000016	-225.976077	0.000000	146364.470244	3005250.549049	222	LChWithError	HdR	EGL	Shad
-0.905938	-0.905938	0.000014	-243.637543	0.000000	178226.992233	3611334.049224	226	LChWithError	HdR	LCh	Shad
0.827008	0.827008	0.000023	171.972216	0.000000	2754030.371039	260767.618755	223	LChWithError	HdR	PtR	Shad
-0.905909	-0.905909	0.000016	-225.194172	0.000000	145118.986354	2939547.809530	224	LChWithError	PtR	EGL	Shad
-0.904652	-0.904652	0.000014	-240.754123	0.000000	176507.980372	3525897.864043	227	LChWithError	PtR	LCh	Shad
0.849796	0.849796	0.000023	176.278917	0.000000	2754030.371039	223627.654367	224	LChWithError	PtR	HdR	Shad
0.081970	0.081970	0.000007	30.687109	0.000000	208585.104453	176980.269751	218	HdR	PtR	EGL	Shad
0.077805	0.077805	0.000007	29.678285	0.000000	259109.268733	221700.015350	222	HdR	PtR	LCh	Shad
0.076673	0.076673	0.000006	30.263944	0.000000	260767.618755	223627.654367	224	HdR	PtR	LChWithError	Shad
