D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
0.069505	0.069505	0.000023	14.484968	0.000000	164552.005377	143164.096458	223	EGL	LCh	LChWithError	Shad
0.010907	0.010907	0.000009	3.675311	0.000238	63485.536182	62115.615753	218	EGL	LCh	HdR	Shad
0.012656	0.012656	0.000009	4.174098	0.000030	63445.458120	61859.564876	219	EGL	LCh	PtR	Shad
0.062223	0.062223	0.000021	13.571908	0.000000	164552.005377	145273.845401	224	EGL	LChWithError	LCh	Shad
0.013530	0.013530	0.000008	4.909570	0.000001	64724.034718	62995.931130	218	EGL	LChWithError	HdR	Shad
0.017279	0.017279	0.000008	6.308037	0.000000	64846.227751	62643.275533	222	EGL	LChWithError	PtR	Shad
-0.911542	-0.911542	0.000015	-232.773712	0.000000	63485.536182	1371897.954751	220	EGL	HdR	LCh	Shad
-0.910009	-0.910009	0.000016	-230.530159	0.000000	64724.034718	1373726.285139	219	EGL	HdR	LChWithError	Shad
0.844081	0.844081	0.000022	181.670181	0.000000	1069104.812135	90393.747768	219	EGL	HdR	PtR	Shad
-0.909854	-0.909854	0.000016	-229.686610	0.000000	63445.458120	1344176.182109	220	EGL	PtR	LCh	Shad
-0.908067	-0.908067	0.000016	-228.063251	0.000000	64846.227751	1345879.284104	223	EGL	PtR	LChWithError	Shad
0.867033	0.867033	0.000023	182.648302	0.000000	1069104.812135	76139.584537	219	EGL	PtR	HdR	Shad
-0.007314	-0.007314	0.000011	-2.195778	0.028108	143164.096458	145273.845401	222	LCh	LChWithError	EGL	Shad
0.000834	0.000834	0.000003	0.452548	0.650874	77144.243289	77015.600244	219	LCh	LChWithError	HdR	Shad
0.002086	0.002086	0.000003	1.144035	0.252609	76754.669543	76435.104722	222	LCh	LChWithError	PtR	Shad
-0.913368	-0.913368	0.000015	-236.887522	0.000000	62115.615753	1371897.954751	219	LCh	HdR	EGL	Shad
-0.910878	-0.910878	0.000012	-258.554796	0.000000	77144.243289	1654066.953473	222	LCh	HdR	LChWithError	Shad
0.833530	0.833530	0.000023	174.972810	0.000000	1239474.013925	112534.101537	221	LCh	HdR	PtR	Shad
-0.912009	-0.912009	0.000015	-236.644332	0.000000	61859.564876	1344176.182109	220	LCh	PtR	EGL	Shad
-0.909419	-0.909419	0.000013	-253.135013	0.000000	76754.669543	1617954.962193	224	LCh	PtR	LChWithError	Shad
0.856336	0.856336	0.000023	177.611789	0.000000	1239474.013925	95924.448150	221	LCh	PtR	HdR	Shad
-0.912306	-0.912306	0.000016	-230.689212	0.000000	62995.931130	1373726.285139	218	LChWithError	HdR	EGL	Shad
-0.911020	-0.911020	0.000013	-252.081149	0.000000	77015.600244	1654066.953473	222	LChWithError	HdR	LCh	Shad
0.832502	0.832502	0.000023	175.254416	0.000000	1243254.186591	113638.146755	222	LChWithError	HdR	PtR	Shad
-0.911051	-0.911051	0.000016	-230.631437	0.000000	62643.275533	1345879.284104	221	LChWithError	PtR	EGL	Shad
-0.909779	-0.909779	0.000013	-248.741877	0.000000	76435.104722	1617954.962193	223	LChWithError	PtR	LCh	Shad
0.855410	0.855410	0.000023	178.859458	0.000000	1243254.186591	96885.345803	222	LChWithError	PtR	HdR	Shad
0.085593	0.085593	0.000009	28.208319	0.000000	90393.747768	76139.584537	217	HdR	PtR	EGL	Shad
0.079678	0.079678	0.000009	26.923357	0.000000	112534.101537	95924.448150	219	HdR	PtR	LCh	Shad
0.079577	0.079577	0.000008	27.928080	0.000000	113638.146755	96885.345803	220	HdR	PtR	LChWithError	Shad
